platform,page_url,image_url,file,alt,bytes,status
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room1-01.jpg,official-website/glenwood-guesthouse-2026-room1-01-f265a3d851.jpg,Glenwood Guesthouse 2026 Room1 01,94911,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room2-01-double.jpg,official-website/glenwood-guesthouse-2026-room2-01-double-b4deae6039.jpg,Glenwood Guesthouse 2026 Room2 01 Double,124970,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room4-01-double.jpg,official-website/glenwood-guesthouse-2026-room4-01-double-efc9837bf7.jpg,Glenwood Guesthouse 2026 Room4 01 Double,130752,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room4-02-bathroom.jpg,official-website/glenwood-guesthouse-2026-room4-02-bathroom-054cffbf85.jpg,Glenwood Guesthouse 2026 Room4 02 Bathroom,126787,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room5-01.jpg,official-website/glenwood-guesthouse-2026-room5-01-d59942049a.jpg,Glenwood Guesthouse 2026 Room5 01,122042,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room5-02.jpg,official-website/glenwood-guesthouse-2026-room5-02-f549ec366e.jpg,Glenwood Guesthouse 2026 Room5 02,133595,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/twin_and_family_bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room3-01-twin-02.jpg,official-website/glenwood-guesthouse-2026-room3-01-twin-02-879f5ee859.jpg,Glenwood Guesthouse 2026 Room3 01 Twin 02,161971,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/twin_and_family_bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/rsz_469.jpg,official-website/rsz_469-4232cc9132.jpg,room 6,56352,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/twin_and_family_bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room7-01-family-suite.jpg,official-website/glenwood-guesthouse-2026-room7-01-family-suite-ce5cdf52e9.jpg,Glenwood Guesthouse 2026 Room7 01 Family Suite,198835,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/twin_and_family_bedrooms.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-guesthouse-2026-room7-02-bathroom.jpg,official-website/glenwood-guesthouse-2026-room7-02-bathroom-67a2c09baa.jpg,Glenwood Guesthouse 2026 Room7 02 Bathroom,99668,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/2023-glenwood-cottage-first-picture.jpg,official-website/2023-glenwood-cottage-first-picture-a4460521e4.jpg,2023 Glenwood Cottage First Picture,178165,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-cottage-2026-bi-fold-pic-01.jpg,official-website/glenwood-cottage-2026-bi-fold-pic-01-7156531510.jpg,Glenwood Cottage 2026 Bi Fold Pic 01,140052,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-cottage-2026-bedroom-01.jpg,official-website/glenwood-cottage-2026-bedroom-01-6259b81639.jpg,Glenwood Cottage 2026 Bedroom 01,129121,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-cottage-2026-bathroom-01.jpg,official-website/glenwood-cottage-2026-bathroom-01-97adf93123.jpg,Glenwood Cottage 2026 Bathroom 01,82006,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/glenwood-cottage-2026-garden-01.jpg,official-website/glenwood-cottage-2026-garden-01-5189b0e1fd.jpg,Glenwood Cottage 2026 Garden 01,242248,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/glenwood1/81_CribGochfromCwmffynnon222sxx.jpg,official-website/81_CribGochfromCwmffynnon222sxx-2e74d3c075.jpg,81_CribGochfromCwmffynnon222sxx.jpg,11420,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/item/glenwood_cottage.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/system_default_template/publicimage/selfclassified_.gif,official-website/selfclassified_-4ccb9b87cd.gif,Self Classified,703,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/activity_providers/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/ttadventur/RED_ZIP.jpg,official-website/RED_ZIP-abfa78e961.jpg,,17642,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/activity_providers/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/beicsbetws1/mountain_biking.jpg,official-website/mountain_biking-935a0bdfcc.jpg,,58446,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/activity_providers/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/robdavies/clubhouse_and_seat.jpg,official-website/clubhouse_and_seat-9e387efae3.jpg,,39278,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/activity_providers/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/horses_in_thehills.jpg,official-website/horses_in_thehills-36e28ff584.jpg,,16034,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/activity_providers/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/oaklands1/Pictures_4_website_017_resize.jpg,official-website/Pictures_4_website_017_resize-e96e2dbe69.jpg,,37269,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/activity_providers/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/laurence/Gorgewalking_Afon_Ddu_June0.jpg,official-website/Gorgewalking_Afon_Ddu_June0-7edac92912.jpg,,51543,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/bodnant/Pin_Mill_350_pixels.jpg,official-website/Pin_Mill_350_pixels-aace1ee0ff.jpg,,40220,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/portmeirion.jpg,official-website/portmeirion-826943e552.jpg,,53198,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/walking1/790968Mountains_panorama.JPG,official-website/790968Mountains_panorama-7fc87a710f.jpg,,21749,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/moseleyc/Conwy_Castle.jpg,official-website/Conwy_Castle-8acd19fca4.jpg,,42228,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/conwy_valley_railway_museum5.jpg,official-website/conwy_valley_railway_museum5-7e08096cba.jpg,,25519,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/moseleyc/Dolwyddelan.jpg,official-website/Dolwyddelan-8323134773.jpg,,25342,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/tramway/Colin_Paxton_Tram_004.jpg,official-website/Colin_Paxton_Tram_004-9f21c84586.jpg,,64055,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/moseleyc/Plas_Mawr_front.jpg,official-website/Plas_Mawr_front-d1a23fe19b.jpg,,49218,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/tina/chochouse054_2.jpg,official-website/chochouse054_2-496c5b3413.jpg,,18633,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/welshzoo1/Sealion341.jpg,official-website/Sealion341-89306b2045.jpg,,22306,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/attractions/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/klew/Navy_Green_Loom_6709.jpg,official-website/Navy_Green_Loom_6709-dd91a289e5.jpg,,86947,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/Lowri/Terrace_and_hotel_front.jpg,official-website/Terrace_and_hotel_front-8a8336c546.jpg,,25413,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/royaloak/The_Royal_Oak_Hotel_radjusted2.jpg,official-website/The_Royal_Oak_Hotel_radjusted2-6cebf017c2.jpg,,12772,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/royaloak/logo_stablau.jpg,official-website/logo_stablau-dbab7e679b.jpg,,6195,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/frontnew_2.jpg,official-website/frontnew_2-d8b4668b9a.jpg,,31366,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/front1_2.jpg,official-website/front1_2-4d0558164c.jpg,,28458,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/tuhwnt/Autumn_2007_350.jpg,official-website/Autumn_2007_350-c382961ab0.jpg,,60956,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/aberadmin/G_REST_1.jpg,official-website/G_REST_1-8087b3cbfe.jpg,,34433,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/eating/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/Ty_Gwyn_Inn_front.jpg,official-website/Ty_Gwyn_Inn_front-3275f9dd7a.jpg,,33874,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/kevin/conwy_boats_by_smallest_house.jpg,official-website/conwy_boats_by_smallest_house-0e627501fd.jpg,,36566,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/Fairy_Falls.jpg,official-website/Fairy_Falls-3e32cb12d3.jpg,,28095,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/Kevinsshed/Bodnant.jpg,official-website/Bodnant-a449d09b94.jpg,,45605,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/horseriding.png,official-website/horseriding-7d72747f6b.png,,110602,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/map1.jpg,official-website/map1-160735ba28.jpg,,56637,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/mountain_biking_betws_y_coed.jpg,official-website/mountain_biking_betws_y_coed-3e94aa37cc.jpg,,55741,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/biking.jpg,official-website/biking-e8b7ad4625.jpg,,22568,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/Kevinsshed/movie_map_headerfin.jpg,official-website/movie_map_headerfin-463e048d00.jpg,,17610,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/BYC5/swallo.jpg,official-website/swallo-2a32accf7c.jpg,,13959,downloaded
official-website,https://www.snowdonia-bedbreakfast.co.uk/feature_pages/index.html,https://www.snowdonia-bedbreakfast.co.uk/image/upload/nick/cox.jpg,official-website/cox-1d5979f652.jpg,,4622,downloaded
